School Name,Mean Earnings (6 Yrs after Entry)
Saginaw Valley State University,35400.0
Centre College,38500.0
SUNY Empire State College,42200.0
Boise Bible College,26900.0
West Coast University-Dallas,71900.0
California State University-East Bay,45200.0
Marian University,41400.0
St. Mary's University,38900.0
Concordia University-Chicago,38700.0
Iowa Wesleyan University,32700.0
Kentucky State University,25600.0
Ohio Dominican University,37400.0
University of Delaware,48100.0
Baker College,27600.0
Thomas University,38700.0
University of the Ozarks,28700.0
Athens State University,36200.0
SUNY College at Oswego,35800.0
Endicott College,45100.0
The University of Tennessee-Knoxville,41600.0
Western Kentucky University,30800.0
Lock Haven University,34000.0
Cedar Crest College,40900.0
University of Rhode Island,42500.0
Faith Baptist Bible College and Theological Seminary,32000.0
Maine Maritime Academy,82000.0
Brigham Young University-Hawaii,35600.0
Anna Maria College,38000.0
Southwestern University,41500.0
Herzing University-Kenosha,30100.0
Hilbert College,33300.0
DePaul University,46000.0
Springfield College,40700.0
Indiana University of Pennsylvania-Main Campus,33400.0
Boston University,52800.0
Virginia Wesleyan University,31400.0
University of North Carolina at Greensboro,33100.0
Jackson State University,27800.0
Mercy College,37800.0
United States University,52200.0
Chamberlain University-Georgia,69800.0
University of Louisville,38200.0
Bennett College,23200.0
Texas A & M International University,36000.0
Montana State University Billings,34300.0
Dominican University of California,54200.0
University of Mary Washington,40300.0
Mayville State University,35700.0
Cambridge College,36400.0
North Central University,29700.0
The College of Idaho,31700.0
Pacific Lutheran University,39200.0
Southeastern University,31200.0
Black Hills State University,31300.0
Bluffton University,35500.0
Neumann University,38800.0
Temple University,42200.0
Columbia University in the City of New York,77900.0
Mercyhurst University,34300.0
Converse University,26900.0
College of Charleston,36400.0
CUNY Brooklyn College,36900.0
Albion College,37600.0
Reed College,34800.0
Indiana University-Northwest,33500.0
California Lutheran University,43700.0
New Mexico Institute of Mining and Technology,49000.0
Barry University,43700.0
Blessing Rieman College of Nursing and Health Sciences,48800.0
Ottawa University-Online,41600.0
Warner University,35500.0
Fairleigh Dickinson University-Metropolitan Campus,42300.0
Savannah College of Art and Design,32700.0
Lakeview College of Nursing,57400.0
University of Utah,47200.0
Manhattanville College,39500.0
Methodist University,32800.0
Olivet Nazarene University,39300.0
Averett University-Non-Traditional Programs,40300.0
Eastern University,36700.0
Northwood University,45700.0
Vassar College,39400.0
Alice Lloyd College,28400.0
University of Virginia's College at Wise,30000.0
Denver College of Nursing,58000.0
CEM College-San Juan,18500.0
St Bonaventure University,37700.0
University of Washington-Tacoma Campus,50300.0
Paier College,29600.0
Massachusetts Institute of Technology,99600.0
Soka University of America,32200.0
University of the Pacific,61000.0
Williams College,51400.0
Claflin University,27200.0
Fisk University,26000.0
Meredith College,34300.0
Chamberlain University-Ohio,69800.0
Western Oregon University,33300.0
Bowie State University,34200.0
Oberlin College,30700.0
McNeese State University,36600.0
Morris College,19200.0
California State University-Los Angeles,37200.0
Campbellsville University,28700.0
Thiel College,34400.0
Embry-Riddle Aeronautical University-Prescott,51400.0
Jarvis Christian University,22800.0
South Dakota State University,41100.0
South Dakota School of Mines and Technology,56400.0
Clark Atlanta University,28400.0
South University-Savannah Online,32500.0
Concordia University-Saint Paul,46000.0
Strayer University-Florida,38400.0
The Art Institute of Austin,30400.0
Marian University,40700.0
University of Detroit Mercy,47000.0
Bryan College of Health Sciences,47200.0
University of Phoenix-Arizona,34200.0
Coastal Carolina University,33500.0
Texas Christian University,50300.0
Rhode Island College,35900.0
University of Maryland Baltimore,79900.0
Upper Iowa University,41200.0
Thomas Jefferson University,67600.0
Newschool of Architecture and Design,39200.0
College of Coastal Georgia,27500.0
Belhaven University,34900.0
Barclay College,29600.0
SUNY Oneonta,35600.0
School of Visual Arts,34800.0
Maryland Institute College of Art,30200.0
Ohio State University-Main Campus,41500.0
Western New Mexico University,29400.0
Huntingdon College,34600.0
Colorado State University Pueblo,39100.0
LeTourneau University,47300.0
Linfield University-Online and Continuing Education,52100.0
Notre Dame College,37000.0
Sierra Nevada University,29000.0
East Carolina University,37300.0
Columbia International University,27900.0
Sonoma State University,41200.0
Misericordia University,45100.0
University of Hawaii-West Oahu,38300.0
Ottawa University-Ottawa,41600.0
Bushnell University,37300.0
Presbyterian College,42400.0
DePauw University,43900.0
Franciscan Missionaries of Our Lady University,46400.0
Berklee College of Music,25700.0
Xavier University,44800.0
Florida Institute of Technology,46900.0
Baylor University,46600.0
The Art Institute of Virginia Beach,27100.0
Rensselaer Polytechnic Institute,66700.0
University of Portland,54900.0
University of Connecticut-Stamford,49800.0
National American University-Ellsworth AFB Extension,31200.0
Provo College,28700.0
Westmont College,38600.0
Georgia State University,38100.0
Rosalind Franklin University of Medicine and Science,79200.0
Lakeland University,39400.0
South University-Columbia,32500.0
University of Wisconsin-Madison,49600.0
Taylor University,31600.0
Texas Wesleyan University,38200.0
Plymouth State University,35100.0
Baker University,48500.0
Brenau University,41300.0
College of Mount Saint Vincent,46200.0
Ramapo College of New Jersey,43100.0
Trinity Baptist College,24300.0
Lee University,30000.0
Texas Lutheran University,38600.0
Oregon Institute of Technology,52900.0
University of Massachusetts-Dartmouth,41100.0
Florida Southern College,37400.0
Texas A&M University-Texarkana,34800.0
California State University-Long Beach,40000.0
University of Connecticut,49800.0
Philander Smith College,23600.0
St Catherine University,44300.0
New England College,31700.0
Boston Architectural College,40200.0
Stockton University,37300.0
Aquinas College,32000.0
Howard University,39500.0
Otis College of Art and Design,35100.0
Delaware State University,30100.0
Warner Pacific University Professional and Graduate Studies,43000.0
Edward Waters University,22700.0
Virginia Polytechnic Institute and State University,50400.0
University of Pittsburgh-Pittsburgh Campus,44300.0
Campbell University,38700.0
Northern Arizona University,36900.0
Bowling Green State University-Main Campus,33500.0
University of Nebraska at Omaha,38600.0
Roberts Wesleyan College,39100.0
Iowa State University,44000.0
Central Michigan University,37600.0
Wheaton College (Massachusetts),38300.0
The Juilliard School,30900.0
Montana State University,38000.0
Cleary University,46700.0
Mount Saint Mary's University,57700.0
California State Polytechnic University-Humboldt,30200.0
Lewis & Clark College,35900.0
University of Maine,37400.0
Davenport University,35100.0
Loyola University Maryland,52000.0
Southwestern College,41200.0
Western Illinois University,37000.0
University of Michigan-Flint,36800.0
Coe College,38700.0
University of New Hampshire at Manchester,44900.0
Florida International University,41500.0
Hannibal-LaGrange University,31600.0
Institute of American Indian and Alaska Native Culture and Arts Development,17800.0
North Carolina Wesleyan College,34800.0
Everglades University,42700.0
Ozark Christian College,27000.0
Drake University,54300.0
The Evergreen State College,28400.0
Muhlenberg College,45400.0
Fisher College,32400.0
Lees-McRae College,32500.0
King's College,44400.0
Strayer University-Mississippi,38400.0
SUNY at Fredonia,32900.0
Walsh College,51700.0
University of Minnesota-Twin Cities,46000.0
Ottawa University-Milwaukee,41600.0
George Washington University,58600.0
Trevecca Nazarene University,40700.0
Maryville University of Saint Louis,44100.0
Chapman University,46900.0
Washington University in St Louis,63400.0
Martin Luther College,29300.0
Eckerd College,36000.0
University of Wisconsin-Oshkosh,37900.0
Jacksonville State University,31800.0
Angelo State University,36100.0
St. John's University-New York,48100.0
Ferris State University,40300.0
Wilmington College,33000.0
Michigan State University,45200.0
Stevenson University,43800.0
Spring Arbor University,38800.0
Platt College-Aurora,50400.0
CUNY Lehman College,36700.0
Monmouth University,42600.0
Indiana State University,34400.0
University of Saint Mary,41900.0
University of Providence,30500.0
Freed-Hardeman University,31500.0
Rider University,42200.0
University of Hawaii at Manoa,39000.0
Grand Valley State University,37700.0
Cairn University-Langhorne,30600.0
The Art Institute of Houston,30400.0
Keystone College,28900.0
Missouri Southern State University,31300.0
Westminster College,37100.0
Fairfield University,56500.0
CUNY Bernard M Baruch College,47500.0
CUNY Medgar Evers College,30000.0
University of South Dakota,37100.0
Erskine College,33400.0
Utah State University,37400.0
Louisiana State University Health Sciences Center-Shreveport,76600.0
Strayer University-Georgia,38400.0
Florida Memorial University,23700.0
University of Southern Indiana,32900.0
John Brown University,45300.0
The University of Texas at San Antonio,38800.0
Mount St. Mary's University,42000.0
American InterContinental University,33200.0
Colby College,50200.0
Southwest Minnesota State University,34900.0
Rice University,68300.0
Georgetown University,81100.0
Yeshiva of Machzikai Hadas,17000.0
University of La Verne,45800.0
Hampshire College,24900.0
Careers Unlimited,37200.0
Maryville College,31800.0
Keene State College,36100.0
Saint Edward's University,41200.0
University of the Virgin Islands,27000.0
Lewis University,43800.0
Hallmark University,33500.0
University of Wisconsin-Whitewater,37500.0
Virginia Union University,23800.0
Allen University,18200.0
Lebanon Valley College,42100.0
Saint John Fisher College,43400.0
National Louis University,44200.0
Saint Martin's University,41000.0
University of Nebraska Medical Center,69600.0
Ithaca College,41200.0
University of Redlands,48700.0
Strayer University-District of Columbia,38400.0
Schreiner University,35400.0
Universidad Politecnica de Puerto Rico,26600.0
McKendree University,39200.0
University of Central Florida,39900.0
Shorter University,36600.0
Geneva College,35600.0
California College of the Arts,36200.0
Champlain College,42200.0
Bethune-Cookman University,26000.0
University of Hawaii at Hilo,31700.0
Lake Forest College,41100.0
University of Houston-Clear Lake,45500.0
Oak Hills Christian College,23900.0
University of Baltimore,45100.0
University of Silicon Valley,37600.0
University of South Florida,39400.0
Wright State University-Main Campus,34500.0
Monmouth College,34500.0
The University of the South,38200.0
Stevens Institute of Technology,67900.0
Alabama A & M University,28400.0
Emory & Henry College,31800.0
Albertus Magnus College,45200.0
Ursinus College,42000.0
Chatham University,35700.0
Winona State University,40000.0
Texas Tech University Health Sciences Center,76700.0
Strayer University-Global Region,38400.0
Lincoln University,27000.0
University of Wisconsin-Stout,41000.0
Gods Bible School and College,22700.0
Thomas More University,46700.0
Bethany College,32600.0
Oklahoma Panhandle State University,33800.0
Stetson University,36500.0
Southwest Baptist University,31000.0
Beloit College,37200.0
Texas Southern University,30300.0
University of North Florida,37500.0
Coppin State University,31700.0
SUNY College of Environmental Science and Forestry,36000.0
University of Pennsylvania,91200.0
Miami University-Oxford,40800.0
The University of West Florida,33600.0
Strayer University-Tennessee,38400.0
SUNY College at Old Westbury,37200.0
New York University,55900.0
Albizu University-San Juan,30200.0
SUNY at Albany,41000.0
Scripps College,44400.0
University of Connecticut-Waterbury Campus,49800.0
University of Advancing Technology,40500.0
Framingham State University,38100.0
Bob Jones University,31200.0
University of Valley Forge,28700.0
Life University,36500.0
Academy College,31300.0
Clemson University,48100.0
University of Cincinnati-Main Campus,39600.0
William Jessup University,38400.0
Lander University,31400.0
Malone University,39800.0
University of North Carolina at Pembroke,28900.0
Salem State University,39300.0
Oglethorpe University,37500.0
Blue Mountain College,29000.0
Utica University,40600.0
Seattle University,48100.0
New Mexico Highlands University,29600.0
St. Thomas Aquinas College,36400.0
Minot State University,38300.0
California University of Pennsylvania,35100.0
Hope College,39200.0
Bethel University,46100.0
SUNY College at Plattsburgh,34800.0
Point University,30200.0
Hollins University,27600.0
Midland University,39400.0
Massachusetts Maritime Academy,75200.0
Nichols College,40300.0
University of Maryland Global Campus,47700.0
Calvary University,30900.0
Clarkson College,48800.0
Calumet College of Saint Joseph,40000.0
Millsaps College,39400.0
Texas State University,40600.0
Parker University,40000.0
The North Coast College,26300.0
Louisiana State University and Agricultural & Mechanical College,45000.0
Wake Forest University,62900.0
Yeshiva of Nitra Rabbinical College,25400.0
University of Pikeville,32100.0
University of West Georgia,33900.0
Hamilton College,55300.0
Alabama State University,24400.0
Harding University,35600.0
University of Florida-Online,47700.0
Harrisburg University of Science and Technology,30700.0
Saint Augustine's University,23800.0
Mid-America Christian University,40300.0
Hobe Sound Bible College,21100.0
University of Arkansas-Fort Smith,30700.0
University of Michigan-Ann Arbor,55900.0
Johnson C Smith University,26200.0
CUNY John Jay College of Criminal Justice,33800.0
Huston-Tillotson University,29900.0
Siena Heights University,43100.0
Northern Michigan University,32000.0
Ave Maria University,30900.0
Mercer University,40400.0
Saint Mary's College of California,48600.0
Roseman University of Health Sciences,76100.0
University of Wisconsin-Milwaukee,38500.0
Arizona Christian University,32600.0
Wilmington University,40800.0
Texas Woman's University,42800.0
Columbus State University,31100.0
Juniata College,37500.0
Chicago State University,32200.0
Saint Anselm College,49900.0
Whittier College,37500.0
Marshall University,32700.0
Chaminade University of Honolulu,31800.0
Pomona College,51200.0
Bellarmine University,43100.0
Northeastern Illinois University,35200.0
Southern Nazarene University,45400.0
The New School,41300.0
Lipscomb University,37800.0
University of Alaska Fairbanks,36500.0
Martin University,21300.0
University of Houston,47100.0
University of Tulsa,50400.0
Ohio Northern University,59600.0
West Coast University-Orange County,71900.0
University of West Alabama,29700.0
University of Missouri-Columbia,42700.0
University of Illinois Chicago,43100.0
University of Holy Cross,38700.0
Loras College,38200.0
Conservatory of Music of Puerto Rico,19000.0
Wells College,29100.0
Williams Baptist University,29300.0
The University of Tennessee-Chattanooga,33900.0
Medical University of South Carolina,87800.0
Tiffin University,36600.0
Escuela de Artes Plasticas y Diseno de Puerto Rico,13300.0
The Baptist College of Florida,29300.0
Saint Peter's University,38200.0
Cornell College,34500.0
Strayer University-Arkansas,38400.0
Coker University,29300.0
Stephen F Austin State University,36700.0
Lake Erie College,32500.0
Wagner College,48300.0
DeVry University-Illinois,37600.0
Strayer University-North Carolina,38400.0
University of the Potomac-Washington DC Campus,33900.0
Austin Peay State University,31400.0
University of Puerto Rico-Rio Piedras,23600.0
University of Florida,47700.0
University of Scranton,47400.0
CUNY Queens College,37200.0
Concordia University-Wisconsin,40400.0
Delta State University,32400.0
University of New Haven,40500.0
Ohio University-Main Campus,35900.0
Manhattan College,54000.0
Wofford College,43100.0
University of Alabama at Birmingham,39400.0
Wheaton College,39600.0
Herzing University-Madison,30100.0
Viterbo University,41300.0
Bemidji State University,37000.0
McPherson College,37900.0
Saint Leo University,39200.0
Anderson University,33300.0
University of Connecticut-Avery Point,49800.0
Menlo College,42500.0
Indiana Wesleyan University-Marion,47700.0
Tennessee Technological University,35400.0
Cleveland University-Kansas City,41700.0
Purdue University Fort Wayne,33100.0
Inter American University of Puerto Rico-Metro,19300.0
San Francisco State University,42100.0
Ripon College,34400.0
Hampton University,37700.0
University of Alaska Anchorage,41500.0
West Virginia State University,28700.0
University of St Thomas,42400.0
Hussian College-Philadelphia,24800.0
Chamberlain University-Texas,69800.0
Pacific University,35800.0
Middle Tennessee State University,33600.0
Arizona State University Digital Immersion,42200.0
Illinois Wesleyan University,43300.0
Transylvania University,34400.0
Florida Gulf Coast University,36500.0
Chowan University,26300.0
University of Pittsburgh-Johnstown,44300.0
Ferrum College,28100.0
California State University-Bakersfield,39100.0
Talmudical Seminary of Bobov,22100.0
Roanoke College,37800.0
Ottawa University-Kansas City,41600.0
Blackburn College,29600.0
Edinboro University of Pennsylvania,29000.0
Franklin Pierce University,37500.0
University of the Potomac-VA Campus,33900.0
Gonzaga University,49400.0
Yeshiva University,48500.0
Paul Smiths College of Arts and Science,31100.0
Simpson University,35100.0
Appalachian State University,34300.0
Longwood University,36200.0
California State University-Northridge,37400.0
Eastern Michigan University,35300.0
University of Maine at Machias,25400.0
Dominican University,39000.0
King University,44100.0
The Art Institute of Atlanta,27100.0
University of Colorado Colorado Springs,37300.0
Oklahoma City University,40700.0
The Catholic University of America,48400.0
East Texas Baptist University,34800.0
University of Arkansas for Medical Sciences,68000.0
Nebraska Methodist College of Nursing & Allied Health,47600.0
Brandeis University,47000.0
Saint Mary's College,44500.0
Langston University,25400.0
Universidad Ana G. Mendez-Carolina Campus,19300.0
Ohio State University-Lima Campus,41500.0
Missouri Western State University,31300.0
Boise State University,35600.0
Fresno Pacific University,38400.0
Albany College of Pharmacy and Health Sciences,94500.0
Indiana University-Kokomo,34300.0
Carnegie Mellon University,84000.0
University of New Mexico-Main Campus,32600.0
University of San Francisco,58500.0
Agnes Scott College,33200.0
Long Island University,41500.0
Inter American University of Puerto Rico-Guayama,19300.0
Knox College,31200.0
State University of New York at New Paltz,36000.0
Davidson College,49400.0
Goshen College,35900.0
Beth Medrash Govoha,26800.0
Emporia State University,33000.0
Northeastern State University,33500.0
University of St Francis,47100.0
Duquesne University,54500.0
Judson University,38000.0
Goddard College,29100.0
Texas A & M University-Kingsville,39500.0
Cazenovia College,30700.0
Savannah State University,26200.0
University of Washington-Bothell Campus,50300.0
Concordia University Ann Arbor,31100.0
University of Puerto Rico-Mayaguez,38700.0
Adrian College,34000.0
Columbia College,36300.0
Columbia Southern University,57000.0
Walsh University,40900.0
DeVry University-New Jersey,37600.0
Purdue University-Main Campus,49000.0
University of New England,41200.0
Eastern Washington University,37700.0
Rosemont College,36700.0
Southeastern Louisiana University,34600.0
North Park University,40300.0
Liberty University,35800.0
Sacred Heart University,47400.0
Norwich University,42400.0
Cheyney University of Pennsylvania,23700.0
Kalamazoo College,39600.0
DeVry University-California,37600.0
Saint Johns University,49600.0
Chamberlain University-Missouri,69800.0
Slippery Rock University of Pennsylvania,36300.0
Oklahoma Baptist University,33500.0
University of Maine at Farmington,27700.0
Midwestern State University,42400.0
Susquehanna University,40200.0
California State University Maritime Academy,76700.0
Lesley University,33400.0
Wellesley College,48600.0
Creighton University,50900.0
Johnson University,28200.0
Barnes-Jewish College Goldfarb School of Nursing,56600.0
Washington State University,44700.0
Rocky Mountain College,34500.0
Lamar University,37200.0
Portland State University,38400.0
Milwaukee School of Engineering,58800.0
University of Central Arkansas,32600.0
Universidad del Sagrado Corazon,23000.0
Towson University,41900.0
Point Park University,32800.0
Peru State College,33800.0
SUNY Brockport,36200.0
Los Angeles Pacific University,48300.0
DigiPen Institute of Technology,60900.0
University of California-Davis,45300.0
St Lawrence University,43400.0
Morehouse College,34600.0
Bryan College-Dayton,39500.0
Worcester Polytechnic Institute,66300.0
